id,date,latitude,longitude,place_desc,title,description,source,links,filters
,2022-06-09,50.382503,36.061166,Udy,Shelling at Udy,"Alternate place names: Uda, Svit, Udyv,Udiv",DEFMON,[],[]
,2022-06-09,50.067479,36.761951,Staryi Saltiv,Shelling at Staryi Saltiv,"Alternate place names: Stary Saltiv, Staryi Saltiv, Stary Saltov, Stariy Saltiv",DEFMON,[],[]
,2022-06-09,50.128546,36.39534,Rus'ki Tyshky,Shelling at Rus'ki Tyshky,"Alternate place names: Rusk Tyshky, Ruski Tyshky, Ruski Tyshki, Rusky Tyshky, Russki Tyshki",DEFMON,[],[]
,2022-06-09,50.113042,36.366577,Cherkas'ki Tyshky,Shelling at Cherkas'ki Tyshky,"Alternate place names: Cherkasy Tyshky, Cherkassky Tyshki, Cherkassy Tyshki, Cherkasski Tyshki",DEFMON,[],[]
,2022-06-09,49.7705,36.80604,Korobochkyne,Shelling at Korobochkyne,"Alternate place names: Korobochkine, Korobochkino",DEFMON,[],[]
,2022-06-09,49.364304,36.694153,Asiivka,Shelling at Asiivka,Alternate place names: Asiivka,DEFMON,[],[]
,2022-06-09,49.319265,36.911716,Chepil',Shelling at Chepil',"Alternate place names: Chepil, Chepilya, Chepily",DEFMON,[],[]
,2022-06-09,48.988236,37.252156,,Shelling at ,"Alternate place names: Dibrivne, Dibrovny, Dibrivny, Dibrovne",DEFMON,[],[]
,2022-06-09,48.94396,37.256372,Kurul'ka,Shelling at Kurul'ka,Alternate place names: Kurulka,DEFMON,[],[]
,2022-06-09,48.99808,37.433424,Dolyna,Shelling at Dolyna,"Alternate place names: Dolyna, Dolini",DEFMON,[],[]
,2022-06-09,48.71879,37.576403,Kramatorsk,Shelling at Kramatorsk,Alternate place names: Kramatorsk,DEFMON,[],[]
,2022-06-09,48.947842,38.456401,Siverodonetsk,Shelling at Siverodonetsk,Alternate place names: Siverodonetsk,DEFMON,[],[]
,2022-06-09,48.894306,38.442174,Lysychans'k,Shelling at Lysychans'k,Alternate place names: Lysychansk,DEFMON,[],[]
,2022-06-09,48.995218,38.291135,Privillya,Shelling at Privillya,"Alternate place names: Privillya,Privillia",DEFMON,[],[]
,2022-06-09,48.819345,38.562081,Ustynivka,Shelling at Ustynivka,Alternate place names: Ustynivka,DEFMON,[],[]
,2022-06-09,48.731758,38.509061,Hirs'ke,Shelling at Hirs'ke,Alternate place names: Horske,DEFMON,[],[]
,2022-06-09,48.663072,38.468072,Katerynivka,Shelling at Katerynivka,"Alternate place names: Katerynivka, Katerynivka",DEFMON,[],[]
,2022-06-09,48.782075,38.546673,Toshkivka,Shelling at Toshkivka,Alternate place names: Toshkivka,DEFMON,[],[]
,2022-06-09,48.698697,38.387202,Komyshuvakha,Shelling at Komyshuvakha,Alternate place names: Komyshuvakha,DEFMON,[],[]
,2022-06-09,47.492333,33.389039,Mykolaivka,Shelling at Mykolaivka,Alternate place names: Mykolayivka,DEFMON,[],[]
,2022-06-09,48.46859,38.135792,Semyhir'ya,Shelling at Semyhir'ya,"Alternate place names: Semyhirya , Semihirya, Semihir",DEFMON,[],[]
,2022-06-09,48.400446,37.969482,Maiors'ka station,Shelling at Maiors'ka station,"Alternate place names: Mayorsky, Mayorsk",DEFMON,[],[]
,2022-06-09,48.850287,38.301849,Verkhn'okam'yanka,Shelling at Verkhn'okam'yanka,"Alternate place names: Verkhnyokamyanka, Verkhnokamyanka",DEFMON,[],[]
,2022-06-09,48.686168,38.499897,Zolote,Shelling at Zolote,Alternate place names: Zolote,DEFMON,[],[]
,2022-06-09,48.758817,38.242351,Berestove,Shelling at Berestove,"Alternate place names: Berestove, Berestovo, Berestov, Berestov, Berestovka",DEFMON,[],[]
,2022-06-09,48.854541,37.585258,Slovyansk,Shelling at Slovyansk,"Alternate place names: Slovyansk, Sloviansk, Slavyansk",DEFMON,[],[]
,2022-06-09,48.324452,37.839757,Niu-York,Shelling at Niu-York,Alternate place names: New York,DEFMON,[],[]
,2022-06-09,48.735848,38.209602,Bilohorivka,Shelling at Bilohorivka,"Alternate place names: Bilohorivka, Belogorivka, Belogorovka, Bilorogovka, Bilogorivka",DEFMON,[],[]
,2022-06-09,47.1860668,32.877342,,Shelling at ,Alternate place names: Lyubimivka,DEFMON,[],[]
,2022-06-09,47.465053,33.623362,Dobryanka,Shelling at Dobryanka,Alternate place names: Dobryanka,DEFMON,[],[]
,2022-06-09,47.224329,33.10285,Bila Krynytsya,Shelling at Bila Krynytsya,Alternate place names: Bila Krynytsia,DEFMON,[],[]
,2022-06-09,47.096229,32.67722,Shyroke,Shelling at Shyroke,"Alternate place names: Shyroke, Shiroke",DEFMON,[],[]
,2022-06-09,47.307358,32.855439,Bereznehuvate,Shelling at Bereznehuvate,"Alternate place names: Bereznehuvate, Berezneguvaty, Berezneguvate",DEFMON,[],[]
,2022-06-09,46.786474,32.344058,Blahodatne,Shelling at Blahodatne,Alternate place names: Blahodatne,DEFMON,[],[]
,2022-06-09,47.185742,32.873045,Lyubomyrivka,Shelling at Lyubomyrivka,Alternate place names: Lyubomyrivka,DEFMON,[],[]
,2022-06-09,46.723685,32.102281,Tavriis'ke,Shelling at Tavriis'ke,Alternate place names: Tavriyske,DEFMON,[],[]
,2022-06-09,47.221256,33.06607,Velyke Artakove,Shelling at Velyke Artakove,"Alternate place names: Veliky Artakovo, Velike Artakove",DEFMON,[],[]
,2022-06-10,52.182322,34.029419,Seredyna-Buda,Shelling at Seredyna-Buda,"Alternate place names: Seredyna-Buda, Seredyna Buda",DEFMON,[],[]
,2022-06-10,52.105473,34.065888,Rozhkovychi,Shelling at Rozhkovychi,"Alternate place names: Rozhkovychi, Rozhkovichi",DEFMON,[],[]
,2022-06-10,52.088388,31.774828,Sen'kivka,Shelling at Sen'kivka,Alternate place names: Senkivka,DEFMON,[],[]
,2022-06-10,51.847227,34.359049,Sopych,Shelling at Sopych,Alternate place names: Sopych,DEFMON,[],[]
,2022-06-10,51.844221,34.263618,Bachivs'k,Shelling at Bachivs'k,Alternate place names: Bachivsk,DEFMON,[],[]
,2022-06-10,49.319265,36.911716,Chepil',Shelling at Chepil',"Alternate place names: Chepil, Chepilya, Chepily",DEFMON,[],[]
,2022-06-10,49.35342,36.810817,Husarivka,Shelling at Husarivka,"Alternate place names: Husarivka, Gusarivka",DEFMON,[],[]
,2022-06-10,50.048218,36.419374,Bairak,Shelling at Bairak,Alternate place names: Bayrak,DEFMON,[],[]
,2022-06-10,49.449629,36.747956,Krynychne,Shelling at Krynychne,"Alternate place names: Krynychna, Krynychny",DEFMON,[],[]
,2022-06-10,48.988236,37.252156,,Shelling at ,"Alternate place names: Dibrivne, Dibrovny, Dibrivny, Dibrovne",DEFMON,[],[]
,2022-06-10,48.925875,38.184257,Hryhorivka,Shelling at Hryhorivka,Alternate place names: Hryhorivka,DEFMON,[],[]
,2022-06-10,48.919697,38.12683,Serebryanka,Shelling at Serebryanka,"Alternate place names: Serebryanka, Serebryansky",DEFMON,[],[]
,2022-06-10,48.99808,37.433424,Dolyna,Shelling at Dolyna,"Alternate place names: Dolyna, Dolini",DEFMON,[],[]
,2022-06-10,49.113722,36.88405,Hrushuvakha,Shelling at Hrushuvakha,"Alternate place names: Hrushuvakha, Grushuvakha, Hrushuvaha, Hrushuvakhya",DEFMON,[],[]
,2022-06-10,49.019966,36.925562,Chervona Polyana,Shelling at Chervona Polyana,"Alternate place names: Chervona Polyana, Chervonaya Polyana",DEFMON,[],[]
,2022-06-10,48.960389,37.15103,Nova Dmytrivka,Shelling at Nova Dmytrivka,"Alternate place names: Nova Dmytrivka, Novaya Dmytrivka, Nova Dmitrivka",DEFMON,[],[]
,2022-06-10,48.947842,38.456401,Siverodonetsk,Shelling at Siverodonetsk,Alternate place names: Siverodonetsk,DEFMON,[],[]
,2022-06-10,48.894306,38.442174,Lysychans'k,Shelling at Lysychans'k,Alternate place names: Lysychansk,DEFMON,[],[]
