id,date,latitude,longitude,place_desc,title,description,source,links,filters
,2023-01-01,46.47577504,30.72854269,Одеська,Одеса,,TEXTY,['https://www.pravda.com.ua/news/2022/09/25/7368955/'],[]
,2023-01-01,47.00585,31.99096,Миколаївська,Миколаїв,,TEXTY,['https://www.pravda.com.ua/news/2022/09/30/7369734/'],[]
,2023-01-01,46.81975,31.6463,Миколаївська,Кам'янка,,TEXTY,['https://www.pravda.com.ua/news/2022/09/30/7369734/'],[]
,2023-01-01,47.87623,33.43444,Дніпропетроська,Кривий Ріг,,TEXTY,['https://www.pravda.com.ua/news/2022/10/2/7369997/'],[]
,2023-01-01,46.89130478,32.05579429,Миколаївська,Миколаїв,,TEXTY,['https://www.pravda.com.ua/news/2022/10/2/7370007/'],[]
,2023-01-01,49.81327,30.10712,Київська,Біла Церква,,TEXTY,['https://www.pravda.com.ua/news/2022/10/5/7370400/'],[]
,2023-01-01,49.80927,30.09806,Київська,Біла Церква,,TEXTY,['https://www.pravda.com.ua/news/2022/10/5/7370400/'],[]
,2023-01-01,49.8106,30.09254,Київська,Біла Церква,,TEXTY,['https://www.pravda.com.ua/news/2022/10/5/7370400/'],[]
,2023-01-01,49.80993,30.09342,Київська,Біла Церква,,TEXTY,['https://www.pravda.com.ua/news/2022/10/5/7370400/'],[]
,2023-01-01,49.81301,30.08523,Київська,Біла Церква,,TEXTY,['https://www.pravda.com.ua/news/2022/10/5/7370400/'],[]
,2023-01-01,49.8142,30.09449,Київська,Біла Церква,,TEXTY,['https://www.pravda.com.ua/news/2022/10/5/7370400/'],[]
,2023-01-01,49.97146808,36.23536642,Харківська,Харків,,TEXTY,['https://www.pravda.com.ua/news/2022/10/7/7370725/'],[]
,2023-01-01,47.88218,35.18884,Запорізька,Запоріжжя,,TEXTY,['https://www.pravda.com.ua/news/2022/10/7/7370725/'],[]
,2023-01-01,47.85832,35.1448,Запорізька,Запоріжжя,,TEXTY,['https://www.pravda.com.ua/news/2022/10/7/7370725/'],[]
,2023-01-01,46.95134193,32.01970637,Миколаївська,Миколаїв,,TEXTY,['https://www.pravda.com.ua/news/2022/10/7/7370766/'],[]
,2023-01-01,47.91814599,33.42016144,Дніпропетровська,Кривий Ріг,,TEXTY,['https://t.me/vilkul/2051'],[]
,2023-01-01,48.70678392,29.22034339,Ладижинська ТЕС - Вінницька,Ладижин,,TEXTY,['https://www.epravda.com.ua/news/2022/10/11/692471/'],[]
,2023-01-01,49.99871306,36.17672183,Холодногірський р-н - Харківська,Харків,,TEXTY,['https://www.pravda.com.ua/news/2022/10/13/7371872/'],[]
,2023-01-01,46.89639408,32.09587861,Миколаївська,Миколаїв,,TEXTY,['https://www.pravda.com.ua/news/2022/10/13/7371728/'],[]
,2023-01-01,49.21430854,28.47649819,Вінницька,Вінниця,,TEXTY,['https://www.pravda.com.ua/news/2022/10/13/7371728/'],[]
,2023-01-01,49.42865572,32.07051381,Черкаська,Черкаси,,TEXTY,['https://www.pravda.com.ua/news/2022/10/13/7371728/'],[]
,2023-01-01,48.7350207,38.21314488,Донецька,Білогорівка,,TEXTY,['https://www.pravda.com.ua/news/2022/10/13/7371728/'],[]
,2023-01-01,48.80796039,38.24473485,Донецька,Спірне,,TEXTY,['https://www.pravda.com.ua/news/2022/10/13/7371728/'],[]
,2023-01-01,47.23895086,33.19195822,Херсонська,Давидів Брід,,TEXTY,['https://www.pravda.com.ua/news/2022/10/13/7371728/'],[]
,2023-01-01,48.27736258,36.70108149,Дніпропетровська,Межівська громада,,TEXTY,['https://www.pravda.com.ua/news/2022/10/14/7371898/'],[]
,2023-01-01,47.82268,35.2301,Запорізька,Запоріжжя,,TEXTY,['https://www.pravda.com.ua/news/2022/10/15/7372063/'],[]
,2023-01-01,47.09368,32.21005,Миколаївська,Михайло-Ларине,,TEXTY,['https://www.pravda.com.ua/news/2022/10/17/7372218/'],[]
,2023-01-01,50.44155454,30.4960165,Київська,Київ,,TEXTY,['https://nv.ua/ukr/kyiv/udari-droniv-kamikadze-po-kiyevu-fotoreportazh-novini-kiyeva-50277185.html'],[]
,2023-01-01,50.44182153,30.4964208,Київська,Київ,,TEXTY,['https://nv.ua/ukr/kyiv/udari-droniv-kamikadze-po-kiyevu-fotoreportazh-novini-kiyeva-50277185.html'],[]
,2023-01-01,50.4401376,30.49594649,Київська,Київ,,TEXTY,['https://nv.ua/ukr/kyiv/udari-droniv-kamikadze-po-kiyevu-fotoreportazh-novini-kiyeva-50277185.html'],[]
,2023-01-01,50.43917369,30.49202533,Київська,Київ,,TEXTY,['https://nv.ua/ukr/kyiv/udari-droniv-kamikadze-po-kiyevu-fotoreportazh-novini-kiyeva-50277185.html'],[]
,2023-01-01,46.95955816,32.03392509,Миколаївська,Миколаїв,,TEXTY,['https://www.pravda.com.ua/news/2022/10/17/7372269/'],[]
,2023-01-01,46.93222789,32.05829317,Миколаївська,Миколаїв,,TEXTY,['https://www.pravda.com.ua/news/2022/10/17/7372269/'],[]
,2023-01-01,50.45203412602622,30.619723176490897,Енергетичні об'єкти - Київська,Київ,,TEXTY,['https://t.me/Denys_Smyhal/3744'],[]
,2023-01-01,47.87762,35.18855,Запорізька,Запоріжжя,,TEXTY,['https://www.pravda.com.ua/news/2022/10/18/7372378/'],[]
